,count,mean,std,min,25%,50%,75%,max
Showalter index,2971.0,0.6525445977785257,2.234886988822555,-5.48,-0.74,0.26,1.57,20.64
Lifted index,2975.0,-1.9350252100840335,2.4918747970971475,-32.98,-3.06,-2.06,-1.04,71.87
LIFT computed using virtual temperature,2975.0,-2.453563025210084,2.6046183332136077,-39.06,-3.645,-2.58,-1.46,72.35
SWEAT index,2971.0,213.57044429485023,31.26741290280002,10.98,199.8,216.01,231.21,376.29
K index,2970.0,31.08642760942761,8.653443472569316,-59.1,29.4,33.7,36.0,43.7
Cross totals index,2971.0,19.527539548973408,2.886655184274116,-27.1,18.7,20.0,21.1,25.9
Vertical totals index,2971.0,23.218976775496465,1.1654290534326919,18.1,22.5,23.3,23.9,28.5
Totals totals index,2971.0,42.74651969033995,3.139880566344595,-5.2,41.5,43.2,44.6,52.0
Convective Available Potential Energy,2996.0,749.3453604806409,659.918602506901,0.0,207.76500000000001,596.345,1116.07,3597.22
CAPE using virtual temperature,2996.0,869.8648230974632,712.8376681878664,0.0,288.935,718.78,1275.06,3957.71
Convective Inhibition,2996.0,-65.99568424566088,68.8726231497803,-553.4,-87.7225,-45.565,-20.384999999999998,0.0
CINS using virtual temperature,2996.0,-44.975110146862484,49.10126321902582,-538.47,-59.230000000000004,-30.475,-13.135,0.0
Equilibrum Level,2743.0,223.69074735690847,115.1894065726855,97.19,146.435,180.9,259.27,843.85
Equilibrum Level using virtual temperature,2772.0,222.62130591630591,111.5987189622117,97.12,146.62,181.03,260.26750000000004,836.66
Level of Free Convection,2903.0,797.307650706166,92.93661029360946,405.54,749.06,819.62,862.89,966.25
LFCT using virtual temperature,2932.0,828.5039972714869,78.52778812668541,445.56,793.54,844.64,881.0925,972.53
Bulk Richardson Number,2963.0,612.3972156598041,3237.8677932950523,0.0,24.700000000000003,86.28,275.33000000000004,62522.78
Bulk Richardson Number using CAPV,2963.0,705.6182247721904,3624.1984244966025,0.0,34.32,105.59,324.91499999999996,68461.98
Temp [K] of the Lifted Condensation Level,2996.0,293.96636181575434,2.7476483886000045,239.76,293.09,294.245,295.14,321.44
Pres [hPa] of the Lifted Condensation Level,2996.0,927.0739552736984,72.50364916227606,467.45,914.8175,929.155,941.7574999999999,4484.18
Equivalent potential temp [K] of the LCL,2996.0,351.048391188251,7.3323009538142,239.65,347.87,350.88,354.02,511.35
Mean mixed layer potential temperature,3010.0,299.33056478405314,20.41788899405865,0.0,299.62,300.355,301.39,459.39
Mean mixed layer mixing ratio,3009.0,17.204320372216685,4.437780686176833,0.0,16.28,17.24,18.1,152.69
1000 hPa to 500 hPa thickness,2972.0,5790.220060565276,42.86085925336881,5300.0,5777.0,5788.0,5800.0,6876.0
Precipitable water [mm] for entire sounding,2999.0,54.27645548516172,8.755841763298664,0.34,49.89,55.97,60.235,76.57
